planet_name,discovery_year,discovery_facility,planet_mass_jupiter_mass,planet_mass_jupiter_mass_err_upper,planet_mass_jupiter_mass_err_lower,planet_mass_earth_mass,planet_mass_earth_mass_err_upper,planet_mass_earth_mass_err_lower,orbit_semi_major_axis_au,stellar_mass_solar,ra_deg,dec_deg,distance_pc
OGLE-2011-BLG-0251L b,2012,OGLE,0.53000000,0.21000000,-0.21000000,170.00000000,67.00000000,-67.00000000,2.7200000000,0.260000,264.5590830,-27.1361389,2570.00000000
OGLE-2012-BLG-0026L b,2012,OGLE,0.14500000,0.00820000,-0.00820000,46.10000000,2.60000000,-2.60000000,4.0000000000,1.060000,263.5779170,-27.1427500,4019.00000000
OGLE-2012-BLG-0026L c,2012,OGLE,0.86000000,0.06000000,-0.06000000,270.00000000,20.00000000,-20.00000000,4.8000000000,1.060000,263.5779170,-27.1427500,4019.00000000
MOA-2008-BLG-379L b,2013,MOA,4.10000000,1.70000000,-1.90000000,1300.00000000,540.00000000,-600.00000000,2.7000000000,0.560000,269.7060000,-30.1969306,3300.00000000
MOA-2010-BLG-328L b,2013,MOA,0.02900000,0.00700000,-0.00700000,9.20000000,2.20000000,-2.20000000,0.9200000000,0.110000,269.4963330,-30.7151750,810.00000000
MOA-2011-BLG-322L b,2013,MOA,11.60000000,13.40000000,-5.60000000,3690.00000000,4260.00000000,-1800.00000000,4.3000000000,0.390000,271.2233330,-27.2209444,7560.00000000
OGLE-2012-BLG-0358L b,2013,OGLE,1.85000000,0.19000000,-0.19000000,588.00000000,60.00000000,-60.00000000,0.8700000000,0.022000,265.6948750,-24.2610000,1760.00000000
OGLE-2012-BLG-0406L b,2013,OGLE,2.73000000,0.43000000,-0.43000000,868.00000000,140.00000000,-140.00000000,3.4500000000,0.440000,268.3257080,-30.4711667,4970.00000000
MOA-2011-BLG-262L b,2014,MOA,0.05300000,0.08800000,-0.03000000,17.00000000,28.00000000,-10.00000000,0.9500000000,0.110000,270.0978330,-31.2452583,7200.00000000
MOA-2013-BLG-220L b,2014,MOA,2.74000000,0.17000000,-0.17000000,871.00000000,54.00000000,-54.00000000,3.0300000000,0.880000,270.9854170,-29.5447222,6720.00000000
OGLE-2008-BLG-092L b,2014,OGLE,0.18000000,,,57.00000000,,,15.0000000000,0.710000,267.5407080,-34.6731944,8100.00000000
OGLE-2008-BLG-355L b,2014,OGLE,4.60000000,3.70000000,-2.20000000,1500.00000000,1200.00000000,-700.00000000,1.7000000000,0.370000,269.7867080,-30.7594722,6800.00000000
OGLE-2013-BLG-0102L b,2014,OGLE,13.00000000,2.00000000,-2.00000000,4100.00000000,600.00000000,-600.00000000,0.8000000000,0.096000,268.0295000,-31.6905833,3040.00000000
OGLE-2013-BLG-0341L B b,2014,OGLE,0.00522000,0.00057000,-0.00057000,1.66000000,0.18000000,-0.18000000,0.7020000000,0.112700,268.0312080,-29.8461111,911.00000000
MOA-2010-BLG-353L b,2015,MOA,0.27000000,0.48000000,-0.16000000,86.00000000,150.00000000,-51.00000000,1.7200000000,0.180000,271.3039170,-27.2932333,6430.00000000
OGLE-2011-BLG-0265L b,2015,OGLE,0.88000000,0.27000000,-0.18000000,280.00000000,86.00000000,-57.00000000,1.8900000000,0.211000,269.4488330,-27.3945278,4380.00000000
OGLE-2012-BLG-0563L b,2015,OGLE,0.39000000,0.14000000,-0.23000000,120.00000000,44.00000000,-73.00000000,0.7400000000,0.340000,271.4905000,-27.7120000,1300.00000000
OGLE-2014-BLG-0124L b,2015,OGLE,0.65000000,0.04400000,-0.04400000,206.58846455,13.98444991,-13.98444991,3.4800000000,0.900000,270.6217083,-28.3962500,3500.00000000
MOA-2011-BLG-028L b,2016,MOA,0.09000000,0.05000000,-0.04000000,30.00000000,16.00000000,-12.00000000,4.1400000000,0.750000,270.8540000,-29.2134167,7380.00000000
MOA-2013-BLG-605L b,2016,MOA,0.01020000,0.00120000,-0.00090000,3.24000000,0.38000000,-0.30000000,0.9300000000,0.024000,272.0192570,-29.7315826,850.00000000
OGLE-2007-BLG-349L AB c,2016,OGLE,0.25170815,0.04090257,-0.04090257,80.00000000,13.00000000,-13.00000000,2.5900000000,0.410000,271.3518070,-26.4219437,2760.00000000
OGLE-2012-BLG-0724L b,2016,OGLE,0.47000000,0.54000000,-0.26000000,150.00000000,170.00000000,-83.00000000,1.6000000000,0.290000,268.9682917,-29.8185278,6700.00000000
OGLE-2012-BLG-0950L b,2016,OGLE,0.11000000,0.03000000,-0.02000000,35.00000000,10.00000000,-6.00000000,2.6000000000,0.570000,272.0192570,-29.7315826,2600.00000000
OGLE-2014-BLG-0676L b,2016,OGLE,3.11000000,1.11000000,-0.63000000,988.44634577,352.78953177,-200.23189641,2.0400000000,0.600000,268.1020833,-30.5483889,1880.00000000
OGLE-2014-BLG-1760L b,2016,OGLE,0.93100000,0.11700000,-0.11700000,295.89824692,37.18592362,-37.18592362,1.8870000000,0.803000,269.4090000,-28.9620472,7056.00000000
OGLE-2015-BLG-0051L b,2016,OGLE,0.72000000,0.65000000,-0.07000000,230.00000000,210.00000000,-20.00000000,0.7300000000,0.100000,269.6625370,-28.0316944,8200.00000000
OGLE-2015-BLG-0954L b,2016,KMTNet,3.40000000,3.70000000,-1.60000000,1100.00000000,1200.00000000,-510.00000000,1.6000000000,0.300000,270.1843330,-28.6608889,1200.00000000
OGLE-2015-BLG-0966L b,2016,OGLE,0.06600000,0.00600000,-0.00600000,21.00000000,2.00000000,-2.00000000,2.7000000000,0.380000,268.7542500,-29.0471111,3300.00000000
MOA-2012-BLG-006L b,2017,Multiple Observatories,8.40000000,4.60000000,-3.90000000,2700.00000000,1500.00000000,-1200.00000000,10.2000000000,0.490000,270.4429630,-29.1087780,5300.00000000
MOA-2012-BLG-505L b,2017,MOA,0.02110000,0.03340000,-0.01100000,6.70000000,10.61000000,-3.51000000,0.9000000000,0.100000,268.1430970,-32.0400925,7210.00000000
MOA-2016-BLG-227L b,2017,MOA,2.80000000,2.20000000,-1.50000000,890.00000000,700.00000000,-480.00000000,1.3900000000,0.290000,271.4737550,-27.7142868,6500.00000000
OGLE-2013-BLG-0132L b,2017,OGLE,0.29000000,0.16000000,-0.13000000,92.00000000,51.00000000,-41.00000000,3.6000000000,0.540000,269.7646180,-28.4210281,3900.00000000
OGLE-2013-BLG-1721L b,2017,OGLE,0.64000000,0.35000000,-0.31000000,200.00000000,110.00000000,-99.00000000,2.6000000000,0.460000,268.1265560,-30.2926941,6300.00000000
OGLE-2013-BLG-1761L b,2017,OGLE,2.70000000,2.50000000,-1.50000000,860.00000000,790.00000000,-480.00000000,1.8000000000,0.330000,268.4094850,-28.8952713,6900.00000000
OGLE-2016-BLG-0263L b,2017,OGLE,4.10000000,6.50000000,-2.50000000,1300.00000000,2100.00000000,-790.00000000,5.4000000000,0.130000,269.8954160,-31.8186111,6500.00000000
OGLE-2016-BLG-0613L AB b,2017,OGLE,4.18000000,3.19000000,-2.43000000,1330.00000000,1010.00000000,-772.00000000,6.4000000000,0.720000,269.2604060,-28.1161671,3410.00000000
OGLE-2016-BLG-1190L b,2017,OGLE,13.38000000,0.88000000,-0.82000000,4253.00000000,280.00000000,-260.00000000,2.1700000000,0.880000,269.7179260,-27.6135559,6770.00000000
OGLE-2016-BLG-1195L b,2017,OGLE,0.00450000,0.00140000,-0.00100000,1.43000000,0.45000000,-0.32000000,1.1600000000,0.078000,268.8479310,-30.2072506,3910.00000000
KMT-2016-BLG-0212L b,2018,KMTNet,18.00000000,20.00000000,-11.00000000,5700.00000000,6000.00000000,-3500.00000000,2.2000000000,0.480000,268.4392500,-29.0868889,6300.00000000
KMT-2016-BLG-1397L b,2018,KMTNet,7.00000000,5.20000000,-4.30000000,2200.00000000,1700.00000000,-1400.00000000,5.1000000000,0.450000,272.6646120,-24.8577385,6600.00000000
KMT-2016-BLG-1820L b,2018,KMTNet,4.57000000,5.03000000,-2.14000000,1450.00000000,1600.00000000,-680.00000000,1.0800000000,0.039000,268.7647400,-29.5169201,6260.00000000
KMT-2016-BLG-2142L b,2018,KMTNet,15.49000000,24.99000000,-8.58000000,4923.00000000,7943.00000000,-2730.00000000,0.8300000000,0.073000,268.1120000,-29.3845615,7010.00000000
KMT-2017-BLG-0165L b,2018,KMTNet,0.11000000,0.05000000,-0.04000000,34.00000000,15.00000000,-12.00000000,3.4500000000,0.760000,269.6496667,-28.1336694,4530.00000000
MOA-2010-BLG-117L b,2018,MOA,0.54000000,0.10000000,-0.10000000,170.00000000,32.00000000,-32.00000000,2.4200000000,0.580000,271.9569700,-25.3446388,3500.00000000
MOA-2011-BLG-291L b,2018,MOA,0.05700000,0.11000000,-0.03800000,18.00000000,34.00000000,-12.00000000,0.6900000000,0.150000,268.8678890,-29.1706657,4400.00000000
MOA-2015-BLG-337L b,2018,MOA,0.10600000,0.40600000,-0.07300000,33.70000000,129.00000000,-23.20000000,0.2400000000,0.009400,271.9487000,-28.1702785,7100.00000000
MOA-2016-BLG-319L b,2018,MOA,0.62000000,1.16000000,-0.33000000,200.00000000,369.00000000,-100.00000000,0.9500000000,0.150000,268.7422180,-29.7504635,6800.00000000
OGLE-2011-BLG-0173L b,2018,OGLE,0.19000000,0.18000000,-0.11000000,60.00000000,57.00000000,-35.00000000,8.0000000000,0.410000,269.3157350,-28.2338619,6100.00000000
OGLE-2014-BLG-1722L b,2018,OGLE,0.17400000,0.16100000,-0.10400000,55.30000000,51.30000000,-33.10000000,1.5000000000,0.400000,268.7523800,-31.4690552,6400.00000000
OGLE-2014-BLG-1722L c,2018,OGLE,0.26300000,0.27200000,-0.16100000,83.70000000,86.40000000,-51.20000000,1.7000000000,0.400000,268.7523800,-31.4690552,6400.00000000
OGLE-2016-BLG-1266L b,2018,OGLE,12.00000000,0.60000000,-0.60000000,3813.94088400,190.69704420,-190.69704420,0.4300000000,0.015000,267.8535833,-29.7422500,3080.00000000
OGLE-2017-BLG-0173L b,2018,OGLE,0.01029000,0.01211000,-0.00634000,3.26900000,3.84900000,-2.01500000,3.9130000000,0.396000,267.9706120,-29.2713604,4705.00000000
OGLE-2017-BLG-0373L b,2018,OGLE,0.40100000,0.63700000,-0.25700000,127.00000000,202.00000000,-82.00000000,2.4240000000,0.248000,269.3294067,-31.9517231,5915.00000000
OGLE-2017-BLG-0482L b,2018,OGLE,0.02800000,0.02800000,-0.01400000,9.00000000,9.00000000,-4.50000000,1.8000000000,0.200000,269.0488890,-30.5283604,5800.00000000
OGLE-2017-BLG-1140L b,2018,OGLE,1.59000000,0.35000000,-0.26000000,505.00000000,110.00000000,-83.00000000,1.0200000000,0.211000,266.8830570,-24.5226669,
OGLE-2017-BLG-1434L b,2018,OGLE,0.01393834,0.00078659,-0.00078659,4.43000000,0.25000000,-0.25000000,1.1800000000,0.234000,268.2804667,-30.2456583,860.00000000
OGLE-2017-BLG-1522L b,2018,OGLE,0.75000000,1.26000000,-0.40000000,240.00000000,400.00000000,-130.00000000,0.5900000000,0.045000,270.3193660,-28.4619713,7490.00000000
TCP J05074264+2447555 b,2018,Multiple Observatories,0.06292704,0.00629270,-0.00629270,20.00000000,2.00000000,-2.00000000,0.9400000000,0.586000,76.9280000,24.7989611,505.00000000
UKIRT-2017-BLG-001L b,2018,Mauna Kea Observatory,1.28000000,0.37000000,-0.44000000,407.00000000,120.00000000,-140.00000000,4.1800000000,0.810000,266.6540830,-29.2113609,6300.00000000
KMT-2016-BLG-1107L b,2019,KMTNet,3.28300000,3.46800000,-1.83500000,1043.00000000,1102.00000000,-583.00000000,0.3420000000,0.087000,266.4177500,-26.0318000,6651.00000000
KMT-2016-BLG-1836L b,2019,KMTNet,2.20000000,1.90000000,-1.10000000,700.00000000,600.00000000,-350.00000000,3.5000000000,0.490000,268.2503330,-30.0407500,7100.00000000
KMT-2017-BLG-1038L b,2019,KMTNet,2.00000000,2.00000000,-1.10000000,640.00000000,640.00000000,-350.00000000,1.8000000000,0.370000,266.1709170,-25.1430306,6000.00000000
KMT-2017-BLG-1146L b,2019,KMTNet,0.71000000,0.80000000,-0.42000000,230.00000000,250.00000000,-130.00000000,1.6000000000,0.330000,269.1058330,-33.1424694,6500.00000000
KMT-2018-BLG-1990L b,2019,KMTNet,0.34800000,0.13200000,-0.08700000,111.00000000,42.00000000,-28.00000000,0.7630000000,0.094000,268.4353750,-22.1525389,967.00000000
MOA-bin-29 b,2019,MOA,0.60000000,1.20000000,-0.38000000,190.00000000,381.00000000,-120.00000000,0.4800000000,0.030000,269.3759583,-29.7365639,7120.00000000
OGLE-2013-BLG-0911L b,2019,OGLE,9.51000000,2.72000000,-1.69000000,3020.00000000,864.00000000,-537.00000000,0.3900000000,0.290000,268.8832500,-29.2538333,3220.00000000
OGLE-2015-BLG-1649L b,2019,OGLE,2.54000000,1.48000000,-1.39000000,807.00000000,470.00000000,-442.00000000,2.0700000000,0.340000,271.2050417,-32.6330278,4230.00000000
OGLE-2015-BLG-1670L b,2019,OGLE,0.05630000,0.03000000,-0.02800000,17.90000000,9.60000000,-8.80000000,2.6200000000,0.550000,268.1587917,-28.5519167,6700.00000000
OGLE-2016-BLG-1067L b,2019,OGLE,0.43000000,0.21000000,-0.17000000,140.00000000,67.00000000,-54.00000000,1.7000000000,0.300000,273.2045000,-27.0126389,3730.00000000
OGLE-2018-BLG-0596L b,2019,OGLE,0.04383000,0.00491000,-0.00491000,13.93000000,1.56000000,-1.56000000,0.9700000000,0.231000,269.0555417,-29.1990833,5650.00000000
OGLE-2018-BLG-0740L b,2019,OGLE,4.80000000,0.60000000,-0.60000000,1500.00000000,200.00000000,-200.00000000,5.0000000000,1.000000,272.1769583,-29.8358056,3200.00000000
OGLE-2018-BLG-1011L b,2019,OGLE,1.80000000,3.40000000,-1.10000000,570.00000000,1100.00000000,-350.00000000,1.8000000000,0.180000,269.0140000,-29.0828889,7100.00000000
OGLE-2018-BLG-1011L c,2019,OGLE,2.80000000,5.10000000,-1.70000000,890.00000000,1600.00000000,-540.00000000,0.8000000000,0.180000,269.0140000,-29.0828889,7100.00000000
KMT-2016-BLG-2364L b,2020,KMTNet,3.93000000,3.16000000,-2.17000000,1250.00000000,1000.00000000,-690.00000000,2.6300000000,0.500000,265.7156670,-27.4355611,6440.00000000
KMT-2016-BLG-2397L b,2020,KMTNet,2.63000000,1.18000000,-1.23000000,836.00000000,375.00000000,-391.00000000,3.6400000000,0.640000,266.2125420,-23.2013806,4880.00000000
KMT-2018-BLG-0029L b,2020,KMTNet,0.02390000,0.00240000,-0.00220000,7.59000000,0.75000000,-0.69000000,4.2700000000,1.140000,264.4694580,-27.9847000,3380.00000000
KMT-2018-BLG-0748L b,2020,KMTNet,0.19000000,0.28000000,-0.10000000,60.00000000,89.00000000,-32.00000000,0.6200000000,0.087000,267.8745000,-30.6463889,7300.00000000
KMT-2018-BLG-1292L b,2020,KMTNet,4.42000000,0.90000000,-0.67000000,1400.00000000,290.00000000,-210.00000000,6.0300000000,1.090000,263.4275830,-33.5206694,3460.00000000
KMT-2019-BLG-0842L b,2020,KMTNet,0.03234000,0.01840000,-0.01660000,10.28000000,5.84000000,-5.28000000,3.3100000000,0.760000,268.4584580,-29.8774389,3320.00000000
KMT-2019-BLG-1339L b,2020,KMTNet,1.25000000,1.04000000,-0.73000000,397.00000000,331.00000000,-230.00000000,2.1500000000,0.480000,265.7434170,-25.5739167,6120.00000000
KMT-2019-BLG-1953L b,2020,KMTNet,0.64000000,0.76000000,-0.35000000,200.00000000,240.00000000,-110.00000000,,0.310000,269.1162500,-28.2011111,7040.00000000
OGLE-2006-BLG-284L A b,2020,OGLE,0.45307467,0.43105021,-0.25800085,144.00000000,137.00000000,-82.00000000,2.1700000000,0.350000,269.6592500,-29.1366667,4000.00000000
OGLE-2012-BLG-0838L b,2020,OGLE,0.16700000,0.12100000,-0.83000000,53.10000000,38.50000000,-260.00000000,4.4300000000,0.400000,273.0030830,-25.7116111,6320.00000000
OGLE-2015-BLG-1771L b,2020,OGLE,0.43300000,0.67400000,-0.25100000,138.00000000,214.00000000,-80.00000000,0.8500000000,0.077000,268.7990000,-28.8627500,7070.00000000
OGLE-2016-BLG-1227L b,2020,OGLE,0.79000000,1.30000000,-0.39000000,250.00000000,413.00000000,-120.00000000,3.4000000000,0.100000,265.5971250,-33.7597778,
OGLE-2017-BLG-0406L b,2020,OGLE,0.41000000,0.05000000,-0.05000000,130.00000000,20.00000000,-20.00000000,3.5000000000,0.560000,268.9996670,-29.8631389,5200.00000000
OGLE-2017-BLG-0604L b,2020,OGLE,0.51000000,0.21000000,-0.21000000,160.00000000,67.00000000,-67.00000000,4.0600000000,0.700000,267.8916670,-30.9465556,3950.00000000
OGLE-2017-BLG-1049L b,2020,OGLE,5.53000000,3.62000000,-2.87000000,1760.00000000,1150.00000000,-912.00000000,3.9200000000,0.550000,269.5335420,-27.1442222,5670.00000000
OGLE-2017-BLG-1375L b,2020,OGLE,11.28000000,8.73000000,-3.38000000,3585.00000000,2770.00000000,-1070.00000000,3.0400000000,0.810000,269.1548750,-30.3114167,3930.00000000
OGLE-2018-BLG-0532L b,2020,OGLE,0.01959548,0.00284745,-0.00277194,6.22800000,0.90500000,-0.88100000,1.0640000000,0.195000,269.9834167,-28.9977500,773.00000000
OGLE-2018-BLG-0677L b,2020,OGLE,0.01250000,0.01850000,-0.00840000,3.96000000,5.88000000,-2.66000000,0.6300000000,0.120000,268.7511250,-32.0165306,7580.00000000
OGLE-2018-BLG-1269L b,2020,OGLE,0.67000000,0.41000000,-0.21000000,210.00000000,130.00000000,-67.00000000,4.5100000000,1.110000,269.6934170,-27.6179444,2510.00000000
OGLE-2018-BLG-1700L b,2020,OGLE,4.40000000,3.04000000,-2.00000000,1400.00000000,966.00000000,-636.00000000,2.8000000000,0.420000,269.9560420,-28.5286389,7600.00000000
KMT-2016-BLG-2605L b,2021,KMTNet,0.77100000,1.18300000,-0.40100000,245.04570180,375.99100548,-127.44919121,0.6810000000,0.064000,269.8230833,-26.9820000,6421.00000000
KMT-2017-BLG-2509L b,2021,KMTNet,2.09000000,1.68000000,-1.26000000,664.26137063,533.95172376,-400.46379282,2.1400000000,0.460000,265.5898750,-26.3171500,7040.00000000
KMT-2018-BLG-1025L b,2021,KMTNet,0.01906375,0.02583155,-0.01044903,6.05900000,8.21000000,-3.32100000,1.3050000000,0.219000,269.8664167,-27.8780611,6705.00000000
KMT-2018-BLG-1743L b,2021,KMTNet,0.24500000,0.33900000,-0.13500000,77.86795971,107.74382997,-42.90683494,1.4490000000,0.193000,274.2833750,-26.3596389,6483.00000000
KMT-2018-BLG-1976L b,2021,KMTNet,2.22000000,1.34000000,-1.21000000,705.57906354,425.89006538,-384.57237247,3.5400000000,0.650000,266.3546667,-35.7003306,5840.00000000
KMT-2018-BLG-1996L b,2021,KMTNet,1.09000000,0.64000000,-0.60000000,346.43296363,203.41018048,-190.69704420,4.2700000000,0.690000,268.6785000,-22.8204111,5910.00000000
KMT-2019-BLG-0371L b,2021,KMTNet,7.70000000,11.34000000,-3.90000000,2447.27873390,3604.17413538,-1239.53078730,0.7900000000,0.090000,268.3839167,-31.5550222,7010.00000000
KMT-2019-BLG-1715L b,2021,KMTNet,2.56000000,1.13000000,-1.16000000,813.64072192,359.14609991,-368.68095212,3.3200000000,0.610000,270.3717083,-28.7771389,3860.00000000
KMT-2020-BLG-0414L b,2021,KMTNet,0.00588368,0.00084952,-0.00050342,1.87000000,0.27000000,-0.16000000,2.0700000000,0.490000,271.9150000,-28.4852222,1220.00000000
KMT-2020-BLG-0414L c,2021,KMTNet,27.00000000,4.00000000,-3.10000000,8581.36698900,1271.31362800,-985.26806170,22.3000000000,0.490000,271.9150000,-28.4852222,1220.00000000
KMT-2021-BLG-0322L b,2021,KMTNet,6.40000000,2.64000000,-2.78000000,2034.10180480,839.06699448,-883.56297146,,0.620000,270.9116667,-29.6043889,6600.00000000
OGLE-2017-BLG-1099L b,2021,OGLE,3.02000000,2.43000000,-1.81000000,959.84178914,772.32302901,-575.26941667,2.7300000000,0.450000,263.9642500,-29.5858611,7250.00000000
OGLE-2018-BLG-0567L b,2021,OGLE,0.32000000,0.34000000,-0.17000000,101.70509024,108.06165838,-54.03082919,2.7200000000,0.250000,269.0184167,-27.9871111,7060.00000000
OGLE-2018-BLG-0962L b,2021,OGLE,1.34000000,0.82000000,-0.70000000,425.89006538,260.61929374,-222.47988490,3.5900000000,0.540000,268.1747917,-32.3092500,6500.00000000
OGLE-2018-BLG-1185L b,2021,OGLE,0.02642936,0.02485618,-0.01478785,8.40000000,7.90000000,-4.70000000,1.5400000000,0.370000,269.7927500,-27.8350833,7400.00000000
OGLE-2018-BLG-1428L b,2021,OGLE,0.77000000,0.77000000,-0.53000000,240.00000000,240.00000000,-170.00000000,3.3000000000,0.430000,265.5487080,-26.1378889,6220.00000000
OGLE-2019-BLG-0299L b,2021,OGLE,6.22000000,3.80000000,-3.67000000,1976.89269154,1207.74794660,-1166.43025369,2.8000000000,0.590000,266.6794583,-23.5843111,5830.00000000
OGLE-2019-BLG-0304L b,2021,OGLE,0.51000000,0.51000000,-0.23000000,162.09248757,162.09248757,-73.10053361,1.2300000000,0.270000,264.0267083,-26.1459889,6980.00000000
OGLE-2019-BLG-0954L b,2021,OGLE,14.20000000,9.90000000,-7.50000000,4513.16337940,3146.50122930,-2383.71305250,2.6500000000,0.800000,267.9132500,-29.6110000,3630.00000000
OGLE-2019-BLG-0960L b,2021,OGLE,0.00786588,0.00188781,-0.00188781,2.50000000,0.60000000,-0.60000000,1.9000000000,0.500000,274.0142917,-25.7746667,980.00000000
OGLE-2019-BLG-1053L b,2021,KMTNet,0.00780295,0.00374416,-0.00308342,2.48000000,1.19000000,-0.98000000,3.4000000000,0.610000,270.1663750,-27.3415833,6800.00000000
KMT-2017-BLG-0673L b,2022,KMTNet,3.67000000,2.17000000,-2.07000000,1166.43025369,689.68764319,-657.90480249,2.3400000000,0.630000,264.7570417,-33.8080278,5080.00000000
KMT-2018-BLG-0030L b,2022,KMTNet,1.45000000,1.23000000,-0.88000000,460.85119015,390.92894061,-279.68899816,4.3900000000,0.510000,264.5166667,-28.0416250,6480.00000000
KMT-2018-BLG-0087L b,2022,KMTNet,0.23000000,0.32000000,-0.12000000,73.10053361,101.70509024,-38.13940884,0.8700000000,0.100000,264.3270000,-27.8320611,7020.00000000
KMT-2018-BLG-0247L b,2022,KMTNet,2.11000000,2.09000000,-1.04000000,670.61793877,664.26137063,-330.54154328,2.4600000000,0.290000,264.5600417,-27.1504111,6760.00000000
KMT-2018-BLG-1988L b,2022,KMTNet,0.01749372,0.01208199,-0.00893564,5.56000000,3.84000000,-2.84000000,3.0900000000,0.470000,265.2825417,-35.5947000,4150.00000000
KMT-2018-BLG-2602L b,2022,KMTNet,1.15000000,0.73000000,-0.63000000,365.50266805,232.01473711,-200.23189641,3.8100000000,0.660000,267.3970417,-21.9762000,4310.00000000
KMT-2019-BLG-0253L b,2022,KMTNet,0.02894644,0.01573176,-0.01290004,9.20000000,5.00000000,-4.10000000,3.1000000000,0.700000,267.8825833,-29.5654722,4900.00000000
KMT-2019-BLG-0414L b,2022,KMTNet,4.57000000,3.74000000,-2.06000000,1452.47581999,1188.67824218,-654.72651842,1.1600000000,0.740000,268.8529167,-21.8955389,4410.00000000
KMT-2019-BLG-0953L b,2022,KMTNet,0.04876845,0.05978069,-0.03051961,15.50000000,19.00000000,-9.70000000,1.1000000000,0.280000,269.3385833,-28.6746389,7200.00000000
KMT-2019-BLG-1042L b,2022,KMTNet,0.19000000,0.21000000,-0.11000000,60.38739733,66.74396547,-34.96112477,1.7000000000,0.300000,270.5440417,-27.5806694,6600.00000000
KMT-2019-BLG-1552L b,2022,KMTNet,4.05000000,1.73000000,-1.85000000,1287.20504835,549.84314411,-587.98255295,2.6000000000,0.790000,269.5957917,-27.5669389,4600.00000000
KMT-2019-BLG-2974L b,2022,KMTNet,0.28000000,0.29000000,-0.18000000,88.99195396,92.17023803,-57.20911326,2.0000000000,0.470000,267.8520833,-29.4231611,6100.00000000
KMT-2021-BLG-0119L b,2022,KMTNet,5.52000000,3.12000000,-2.40000000,1754.41280664,991.62462984,-762.78817680,2.9200000000,0.560000,274.0005417,-29.7438889,3130.00000000
